id,name,latitude,longitude,type,color
302,Mathieu Kleyebe ABONNENC,48.8588897,2.320041,artist,#F35B04
303,Meris ANGIOLETTI,45.7566557,9.7542192,artist,#F35B04
304,Neal BEGGS,53.5577842,-6.0923054,artist,#F35B04
305,Iñaki BONILLAS,19.4326296,-99.1331785,artist,#F35B04
306,Monica BONVICINI,45.4371908,12.3345898,artist,#F35B04
307,Joseph GRIGELY,42.1018764,-72.5886727,artist,#F35B04
308,Bernard HEIDSIECK,48.8588897,2.320041,artist,#F35B04
309,JOANA HADJITHOMAS & KHALIL JOREIGE,48.8588897,2.320041,artist,#F35B04
310,Teresa MARGOLLES,24.7978965,-107.393395,artist,#F35B04
311,Tom MARIONI,39.1014537,-84.5124602,artist,#F35B04
312,Dona Ann MCADAMS,43.1481323,-73.1989963,artist,#F35B04
313,Susana MEJIA,6.2443382,-75.573553,artist,#F35B04
314,Annette MESSAGER,50.4052576,1.5711617,artist,#F35B04
315,Vera MOLNAR,47.4978918,19.0401609,artist,#F35B04
316,Claire MOREL,47.7467233,7.3389937,artist,#F35B04
317,Roman OPALKA,49.9928243,1.8768545,artist,#F35B04
318,Cornelia PARKER,51.5074456,-0.1277653,artist,#F35B04
319,Cesare PIETROIUSTI,41.8933203,12.4829321,artist,#F35B04
320,David RENAUD,45.1875602,5.7357819,artist,#F35B04
,,,,,
321,Saâdane AFIF,47.7934453,1.0662256,artist,#3D348B
322,"AGNÈS DAHAN STUDIO, Constance GUISSET",37.5666791,126.9782914,artist,#3D348B
323,Sang-Soo AHN,37.5666791,126.9782914,artist,#3D348B
324,Pierre ARDOUVIN,48.8588897,2.320041,artist,#3D348B
325,Pierre-Olivier ARNAUD,45.7578137,4.8320114,artist,#3D348B
326,ATELIER TER BEKKE § BEHAGE,48.8588897,2.320041,artist,#3D348B
327,BALDINGER & VU-HUU,48.8588897,2.320041,artist,#3D348B
328,Jean-Paul BERRENGER,49.4404591,1.0939658,artist,#3D348B
329,Delphine BOESCHLIN,49.4938975,0.1079732,artist,#3D348B
330,Sarah BORIS,51.5074456,-0.1277653,artist,#3D348B
331,Simon BOUDVIN,48.0073849,0.1967849,artist,#3D348B
332,CHANGE IS GOOD,48.8588897,2.320041,artist,#3D348B
333,Claude CLOSKY,48.8588897,2.320041,artist,#3D348B
334,COLLECTIF D'EN FACE,49.4404591,1.0939658,artist,#3D348B
335,Sara DE BONDT,50.879202,4.7011675,artist,#3D348B
336,Mirtha DERMISACHE,-34.6075682,-58.4370894,artist,#3D348B
337,Olivier DOUZOU,44.3511408,2.5728493,artist,#3D348B
338,Sophie DUBOSC,48.8588897,2.320041,artist,#3D348B
339,Jean-Jacques DUMONT,48.8385198,-0.8893293,artist,#3D348B
340,FLAG,47.3744489,8.5410422,artist,#3D348B
341,FRÉDÉRIC TACER,49.4404591,1.0939658,artist,#3D348B
342,Gilles FURTWÄNGLER,46.5218269,6.6327025,artist,#3D348B
343,Christophe GAUDARD,47.2380222,6.0243622,artist,#3D348B
344,Dominique GHESQUIÈRE,30.421309,-87.2169149,artist,#3D348B
345,Julien GOBLED,49.5052482,0.0805655,artist,#3D348B
346,HELMO,48.8623357,2.4412184,artist,#3D348B
347,Julian HOUSE,51.5074456,-0.1277653,artist,#3D348B
348,Dominique HURTH,48.0777517,7.3579641,artist,#3D348B
349,Véronique JOUMARD,45.1875602,5.7357819,artist,#3D348B
350,Hugo JOURDAN,48.8588897,2.320041,artist,#3D348B
351,Jean JULLIEN,47.0617293,-0.8801359,artist,#3D348B
352,Ben KINMONT,40.8126922,-91.1020205,artist,#3D348B
353,Virgile LAGUIN,49.5052482,0.0805655,artist,#3D348B
354,"Stéphane LE MERCIER (Stéphane LE MERCIER-DAUNY, dit)",48.5141134,-2.7603283,artist,#3D348B
355,LES GRAPHIQUANTS,48.8588897,2.320041,artist,#3D348B
356,Claude LÉVÊQUE,46.9876601,3.1577203,artist,#3D348B
357,LIEUX COMMUNS,48.8588897,2.320041,artist,#3D348B
358,Jonathan LOPPIN,49.0457362,3.4027111,artist,#3D348B
359,Pierre-Emmanuel LYET,48.8588897,2.320041,artist,#3D348B
360,M/M,48.8588897,2.320041,artist,#3D348B
361,Fanette MELLIER,45.2399639,4.6675475,artist,#3D348B
362,Nicolas MILHÉ,44.841225,-0.5800364,artist,#3D348B
363,Anita MOLINERO,44.8356545,-0.5141955,artist,#3D348B
364,NA KIM,37.5666791,126.9782914,artist,#3D348B
365,Karl NAWROT,45.7733573,4.8868454,artist,#3D348B
366,Richard NIESSEN,52.5119116,5.0562845,artist,#3D348B
367,NORM,47.3744489,8.5410422,artist,#3D348B
368,Marjorie OBER,48.8172236,7.7885978,artist,#3D348B
369,OPEN SOURCE PUBLISHING,50.8550018,4.3512334,artist,#3D348B
370,Vincent PERROTTET,48.935773,2.3580232,artist,#3D348B
371,Damien POULAIN,47.4739884,-0.5515588,artist,#3D348B
372,Marie REINERT,49.7577729,0.374891,artist,#3D348B
373,Delphine REIST,46.2311749,7.3588795,artist,#3D348B
374,Michael RIEDEL,49.991701,8.4138251,artist,#3D348B
375,Mathieu ROQUET,45.9366592,-0.9616399,artist,#3D348B
376,S-Y-N-D-I-C-A-T,48.8588897,2.320041,artist,#3D348B
377,Mathias SCHWEIZER,46.2017559,6.1466014,artist,#3D348B
378,Izet SHESHEVARI,46.2017559,6.1466014,artist,#3D348B
379,STUDIO DUMBAR,31.2312707,121.4700152,artist,#3D348B
380,SUPER TERRAIN,47.2186371,-1.5541362,artist,#3D348B
381,SUPERSCRIPT²,45.7578137,4.8320114,artist,#3D348B
382,Frédéric TESCHNER,48.7643664,2.391024,artist,#3D348B
383,Barthélémy TOGUO,3.515197,11.503114,artist,#3D348B
384,Sylvia TOURNERIE,43.1437925,0.1586661,artist,#3D348B
385,Frédéric VAESEN,50.44741,2.9068246,artist,#3D348B
386,Bernard VILLERS,50.7956766,4.4071502,artist,#3D348B
387,Sven 'T JOLLE,51.2211097,4.3997081,artist,#F35B04
388,Ignasi ABALLÍ,41.3828939,2.1774322,artist,#F35B04
389,Adel ABDESSEMED,36.3641642,6.6084281,artist,#F35B04
390,Darren ALMOND,53.5457188,-2.6264624,artist,#F35B04
391,Benjamin Laurent AMAN,49.4404591,1.0939658,artist,#F35B04
392,Alice ANDERSON,51.5074456,-0.1277653,artist,#F35B04
393,Xavier ANTIN,45.0354375,5.0520015,artist,#F35B04
394,Leonor ANTUNES,38.7077507,-9.1365919,artist,#F35B04
395,ARNAUD DESJARDIN. THE EVERYDAY PRESS,51.5074456,-0.1277653,artist,#F35B04
396,"ASSADOUR (Bezdikian ASSADOUR, dit)",33.8892265,35.5025585,artist,#F35B04
397,Geneviève ASSE,47.6586772,-2.7599079,artist,#F35B04
398,Saïd ATEK,36.6816175,4.237186,artist,#F35B04
