artist_id,artwork_id,title,date,domaine,medium,type,picture_path
74,1024,Livre Ideogramme,printemps 1971 -,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
408 pages, broché, dos cousu
Offset",ouvrage,images/1024.jpg
74,1025,Livre Bok 3a,automne 1971,"Publication, livre, imprimé, Livre",,ouvrage,images/1025.jpg
74,1026,Livre Bok 3c,automne 1971,"Publication, livre, imprimé, Livre",,ouvrage,images/1026.jpg
74,1027,"Livre Kleinere Werke, Teil 1",printemps 1971,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
272 pages, broché
Offset",ouvrage,images/1027.jpg
74,1028,"Livre Kleinere Werke, Teil 2",printemps 1971,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
304 pages, broché
Offset",ouvrage,images/1028.jpg
74,1029,Livre Bok 4a und Bok 5,été 1972,"Publication, livre, imprimé, Livre",,ouvrage,images/1029.jpg
74,1030,Livre Scheisse,été 1972,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
472 pages, dos cousu, broché, jaquette
Offset sur papiers colorés",ouvrage,images/1030.jpg
74,1031,"Livre Bücher und Grafik (1.Teil)
(Livres et éditions (première partie))",janvier 1972,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
384 pages, broché
Offset",ouvrage,images/1031.jpg
74,1032,Livre Bok 2a und Bok 2b,printemps 1973 -,"Publication, livre, imprimé, Livre",,ouvrage,images/1032.jpg
74,1033,Livre Die blaue Flut,printemps 1973,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Environ 500 pages, broché, dos cousu, jaquette
Offset",ouvrage,images/1033.jpg
74,1034,Livre Bok 3b und Bok 3d,automne 1974,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Environ 530 pages
Bandes dessinées originales et albums de coloriage cutterisés",ouvrage,images/1034.jpg
74,1035,Livre (Copley Buch),automne 1974,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
37 fascicules et cartes imprimées dans un coffret cartonné, 40 pages
Offset et impression typographique",ouvrage,images/1035.jpg
74,1036,Livre Stupidogramme,printemps 1975,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
416 pages, cousu, broché
Impression typographique et offset couleur",ouvrage,images/1036.jpg
